Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
4:9	snwn		rc://*/ta/man/translate/figs-abstractnouns	חִ֖יל	1	If your language does not use an abstract noun for the idea of **pain**, you could express the same idea in another way. Alternate translation: [painful spasms]
4:10	ns71		rc://*/ta/man/translate/figs-simile	ח֧וּלִי וָ⁠גֹ֛חִי בַּת־צִיּ֖וֹן כַּ⁠יּֽוֹלֵדָ֑ה	1	The point of this comparison is that just as **a woman giving birth** cries out and writhes in labor, so the people of Jerusalem will agonize in their distress. If it would be helpful in your language, you could make this point explicitly. Alternate translation: [Writhe in pain and cry out, people of Jerusalem, with the same intense anguish that a woman experiences when she is giving birth]
4:10	ku3e		rc://*/ta/man/translate/figs-activepassive	תִּנָּצֵ֔לִי	1	The expression **you will be rescued** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. If you need to say who does the action, the context indicates that it is Yahweh. Alternate translation: [Yahweh will be the one who rescues you]
4:10	cthg		rc://*/ta/man/translate/figs-123person	יְהוָ֔ה	1	Yahweh is speaking of himself in the third person as **Yahweh**. If it would be helpful in your language, you could translate this in the first person. Alternate translation: [I, Yahweh]
4:10	gj08		rc://*/ta/man/translate/figs-metonymy	מִ⁠כַּ֖ף אֹיְבָֽיִ⁠ךְ	1	Here, **the hand** of their enemies represents their power and control. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [from the power of your enemies]
4:11	td7u		rc://*/ta/man/translate/figs-activepassive	נֶאֶסְפ֥וּ עָלַ֖יִ⁠ךְ גּוֹיִ֣ם רַבִּ֑ים	1	The expression **are assembled** is a passive verbal form. If it would be unnatural to use that form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: [many nations have gathered together against you]
4:11	hd3m		rc://*/ta/man/translate/figs-imperative3p	תֶּחֱנָ֔ף וְ⁠תַ֥חַז & עֵינֵֽי⁠נוּ	1	The people of the other nations are saying what they want to happen to Jerusalem. See the discussion in the introduction to this book about “let” and “may” and follow the decision of your team of how a speakers will express in this context what they want to happen. Alternate translation: [We want her to be defiled and we want our eyes to gaze]
4:11	suie		rc://*/ta/man/translate/figs-idiom	וְ⁠תַ֥חַז בְּ⁠צִיּ֖וֹן עֵינֵֽי⁠נוּ	1	The nations are using the expression **our eyes gaze** as a common expression of the culture to mean “we will gloat over.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [and we want to look with satisfaction on Zion’s downfall]
4:12	li4d		rc://*/ta/man/translate/writing-pronouns	וְ⁠הֵ֗מָּה לֹ֤א יָֽדְעוּ֙	1	Yahweh is stating the pronoun **they** separately, even though the verb translated as **they do not know** already includes this meaning. He is doing that to emphasize how ignorant the people of the other nations are of his thoughts. If a speaker of your language would use an explicit pronoun for the same purpose, you may want to use that construction in your translation. If not, your language may have other ways of showing the meaning here. Alternate translation: [But of course, they do not know]
4:12	x66a		rc://*/ta/man/translate/figs-123person	מַחְשְׁב֣וֹת יְהוָ֔ה וְ⁠לֹ֥א הֵבִ֖ינוּ עֲצָת֑⁠וֹ כִּ֥י קִבְּצָ֖⁠ם	1	Yahweh is speaking of himself in the third person as **Yahweh**, **his**, and **he**. If it would be helpful in your language, you could translate this in the first person here and throughout this verse. Alternate translation: [my thoughts and they do not understand my plan, for I have gather them]
4:12	idry		rc://*/ta/man/translate/figs-abstractnouns	מַחְשְׁב֣וֹת יְהוָ֔ה	1	If your language does not use an abstract noun for the idea of **thoughts**, you could express the same idea in another way. Alternate translation: [what Yahweh intends]
4:12	p3wy		rc://*/ta/man/translate/figs-simile	קִבְּצָ֖⁠ם כֶּ⁠עָמִ֥יר גֹּֽרְנָ⁠ה	1	The point of this comparison is that just as **bundles of grain** are gathered to the threshing floor to be crushed, so Yahweh has gathered the nations together for judgment. If it would be helpful in your language, you could make this point explicitly. Alternate translation: [he has gathered them together so that he can destroy them, just as a farmer gathers bundles of grain to the threshing floor to be crushed]
4:13	wv0i		rc://*/ta/man/translate/figs-metaphor	ק֧וּמִי וָ⁠ד֣וֹשִׁי בַת־צִיּ֗וֹן	1	Yahweh is speaking of the people of Jerusalem, or **daughter Zion,** defeating her enemies as if she were an ox that could **thresh** grain. He means that Jerusalem will crush the nations as an ox crushes grain on the threshing floor. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [Arise and crush your enemies, people of Jerusalem]
4:13	mpzi		rc://*/ta/man/translate/figs-parallelism	קַרְנֵ֞⁠ךְ אָשִׂ֤ים בַּרְזֶל֙ וּ⁠פַרְסֹתַ֨יִ⁠ךְ֙ אָשִׂ֣ים נְחוּשָׁ֔ה	1	These two clauses mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. If it would be helpful to your readers, you could combine them and express the emphasis in another way as in the UST. Another approach would be to connect the phrases with a word other than **and** in order to show that the second phrase is repeating the first one, not saying something additional. Alternate translation: [I will make your horn iron, indeed I will make your hooves bronze]
4:13	osef		rc://*/ta/man/translate/figs-metaphor	קַרְנֵ֞⁠ךְ אָשִׂ֤ים בַּרְזֶל֙	1	Yahweh is speaking of the strength he will give Zion as if it were a **horn** made of **iron**. An animal’s horn represents power, and iron represents strength that cannot be broken. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [I will make you unbreakably strong]
