Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:17	wjfu		rc://*/ta/man/translate/figs-abstractnouns	בַּ⁠מִּשְׁפָּ֗ט & הַ⁠מִּשְׁפָּ֖ט	1	If your language does not use an abstract noun for the idea of **judgment**, you could express the same idea in another way. Alternate translation: [in the legal case … the result of the legal case]
1:17	tw6h		rc://*/ta/man/translate/figs-explicit	תִּשְׁמָע֔וּ⁠ן	1	The implication is that the judges will **hear** legal cases. You could include this information if that would be helpful to your readers. Alternate translation: [you should hear legal cases]
1:17	tl9s		rc://*/ta/man/translate/figs-metaphor	כַּ⁠קָּטֹ֤ן כַּ⁠גָּדֹל֙	1	Moses is using the adjective **small** to describe people who are considered unimportant in society, who are often equated with the poor, and the adjective **great** to describe people who are considered important or rich. Alternate translation: [as the poor people and rich people alike]
1:17	l3vl		rc://*/ta/man/translate/figs-merism	כַּ⁠קָּטֹ֤ן כַּ⁠גָּדֹל֙	1	Here, **small** and **great** refer to all of the Israelites by naming the parts that are at the extreme ends of Israelite society. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [all Israelites alike]
1:17	zbxp		rc://*/ta/man/translate/grammar-connect-logic-result	לֹ֤א תָג֨וּרוּ֙ מִ⁠פְּנֵי־אִ֔ישׁ כִּ֥י הַ⁠מִּשְׁפָּ֖ט לֵ⁠אלֹהִ֣ים ה֑וּא	1	If it would be more natural in your language, you could reverse the order of these phrases, since the second phrase gives the reason for the result that the first phrase describes. Alternate translation: [The judgment, it belongs to God, so do not be afraid from the face of a man]
1:17	jze3		rc://*/ta/man/translate/figs-idiom	מִ⁠פְּנֵי־אִ֔ישׁ	1	Moses is using **from the face of** as a common expression of his culture to mean “because of” or “on account of.” If this phrase does not have that meaning in your language, you could use a comparable expression from your language that does have that meaning or you could state the meaning plainly. Alternate translation: [because of a man]
1:17	d6rd		rc://*/ta/man/translate/figs-gendernotations	אִ֔ישׁ	1	Here the masculine term **man** has a generic sense that includes both men and women. If it would be helpful to your readers, you could use language in your translation that is clearly inclusive of both men and women. Alternate translation: [any person]
1:17	insr		rc://*/ta/man/translate/figs-metaphor	הַ⁠מִּשְׁפָּ֖ט לֵ⁠אלֹהִ֣ים ה֑וּא	1	Moses is speaking of a **judgment** as if it were an object that **belongs to God**. Moses means that God decides what is right and wrong. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [God knows which decision is right or wrong]
1:17	gn5h		rc://*/ta/man/translate/figs-metaphor	תַּקְרִב֥וּ⁠ן	1	Moses is speaking of legal cases as if they were objects that the Israelites could physically **bring** to him. Moses means that the Israelites should tell him the details and let him decide the case. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [you can explain]
1:17	spb9		rc://*/ta/man/translate/figs-explicit	וּ⁠שְׁמַעְתִּֽי⁠ו	1	The implication is that Moses will not only **hear** the legal case, but also decide on a solution. You could include this information if it would be helpful to your readers. Alternate translation: [and I shall hear it and choose a solution]
