Reference	ID	Tags	OrigWords	Occurrence	TWLink
9:3	kajr	name	אֶפְרַ֨יִם֙	1	rc://*/tw/dict/bible/names/ephraim
9:3	ytyp	name	מִצְרַ֔יִם	1	rc://*/tw/dict/bible/names/egypt
9:3	pgam	name	וּ⁠בְ⁠אַשּׁ֖וּר	1	rc://*/tw/dict/bible/names/assyria
9:4	btqr		יַיִן֮	1	rc://*/tw/dict/bible/other/wine
9:4	bmua	keyterm	לַ⁠יהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
9:4	pu6y		זִבְחֵי⁠הֶ֗ם	1	rc://*/tw/dict/bible/other/sacrifice
9:4	jkib		אוֹנִים֙	1	rc://*/tw/dict/bible/other/mourn
9:4	ugmy		יִטַמָּ֑אוּ	1	rc://*/tw/dict/bible/other/defile
9:4	rmjv		לַחְמָ֣⁠ם	1	rc://*/tw/dict/bible/other/bread
9:4	yq85	keyterm	בֵּ֥ית יְהוָֽה	1	rc://*/tw/dict/bible/kt/houseofgod
9:5	szc6		חַג	1	rc://*/tw/dict/bible/other/feast
9:5	s4g9	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
9:6	f98f		מִ⁠שֹּׁ֔ד	1	rc://*/tw/dict/bible/other/destroyer
9:6	cmhu	name	מִצְרַ֥יִם	1	rc://*/tw/dict/bible/names/egypt
9:6	xq72	name	מֹ֣ף	1	rc://*/tw/dict/bible/names/memphis
9:6	q39m		תְּקַבְּרֵ֑⁠ם	1	rc://*/tw/dict/bible/other/bury
9:6	eyfu		יִֽירָשֵׁ֔⁠ם	1	rc://*/tw/dict/bible/other/possess
9:6	bpcq		לְ⁠כַסְפָּ֗⁠ם	1	rc://*/tw/dict/bible/other/silver
9:6	tqnm		ח֖וֹחַ	1	rc://*/tw/dict/bible/other/thorn
9:6	uuaf		בְּ⁠אָהֳלֵי⁠הֶֽם	1	rc://*/tw/dict/bible/other/tent
9:7	rgee		הַ⁠פְּקֻדָּ֗ה	1	rc://*/tw/dict/bible/other/punish
9:7	ktrm	keyterm	יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
9:7	n9kv	keyterm	הַ⁠נָּבִ֗יא	1	rc://*/tw/dict/bible/kt/prophet
9:7	fx82	keyterm	אֱוִ֣יל	1	rc://*/tw/dict/bible/kt/foolish
9:7	jdjm	keyterm	הָ⁠ר֔וּחַ	1	rc://*/tw/dict/bible/kt/holyspirit
9:7	gnwg	keyterm	עֲוֺנְ⁠ךָ֔	1	rc://*/tw/dict/bible/kt/iniquity
9:8	kjdg	name	אֶפְרַ֖יִם	1	rc://*/tw/dict/bible/names/ephraim
9:8	zj34	keyterm	אֱלֹהָ֑⁠י	1	rc://*/tw/dict/bible/kt/god
9:8	f4ak	keyterm	נָבִ֞יא	1	rc://*/tw/dict/bible/kt/prophet
9:8	esub		פַּ֤ח	1	rc://*/tw/dict/bible/other/snare
9:8	xs76	keyterm	בְּ⁠בֵ֥ית	1	rc://*/tw/dict/bible/kt/temple
9:8	fzxp	keyterm	אֱלֹהָֽי⁠ו	1	rc://*/tw/dict/bible/kt/god
9:9	aszx		שִׁחֵ֖תוּ	1	rc://*/tw/dict/bible/other/corrupt
9:9	vwa5	name	הַ⁠גִּבְעָ֑ה	1	rc://*/tw/dict/bible/names/gibeah
9:9	tgvg	keyterm	עֲוֺנָ֔⁠ם	1	rc://*/tw/dict/bible/kt/iniquity
9:9	d6hb		יִפְק֖וֹד	1	rc://*/tw/dict/bible/other/punish
9:9	k42r	keyterm	חַטֹּאותָֽ⁠ם	1	rc://*/tw/dict/bible/kt/sin
9:10	vaqs		כַּ⁠עֲנָבִ֣ים	1	rc://*/tw/dict/bible/other/grape
9:10	ru22		בַּ⁠מִּדְבָּ֗ר	1	rc://*/tw/dict/bible/other/desert
9:10	nzdz	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
9:10	na9q		כְּ⁠בִכּוּרָ֤ה	1	rc://*/tw/dict/bible/other/fruit
9:10	faki		בִ⁠תְאֵנָה֙	1	rc://*/tw/dict/bible/other/fig
9:10	b5bx	name	בַֽעַל־פְּע֗וֹר	1	rc://*/tw/dict/bible/names/peor
9:10	cw47		וַ⁠יִּנָּֽזְרוּ֙	1	rc://*/tw/dict/bible/other/dedicate
9:10	ttxd		לַ⁠בֹּ֔שֶׁת	1	rc://*/tw/dict/bible/other/shame
9:10	c3x8	keyterm	שִׁקּוּצִ֖ים	1	rc://*/tw/dict/bible/kt/abomination
9:11	cky7	name	אֶפְרַ֕יִם	1	rc://*/tw/dict/bible/names/ephraim
9:11	h788	keyterm	כְּבוֹדָ֑⁠ם	1	rc://*/tw/dict/bible/kt/glory
9:11	dk2p		וּ⁠מִ⁠בֶּ֖טֶן	1	rc://*/tw/dict/bible/other/womb
9:11	mt7h		וּ⁠מֵ⁠הֵרָיֽוֹן	1	rc://*/tw/dict/bible/other/conceive
9:12	vq5q	keyterm	א֥וֹי	1	rc://*/tw/dict/bible/kt/woe
9:13	geya	name	אֶפְרַ֛יִם	1	rc://*/tw/dict/bible/names/ephraim
9:13	tsam	name	לְ⁠צ֖וֹר	1	rc://*/tw/dict/bible/names/tyre
9:13	gcve		שְׁתוּלָ֣ה	1	rc://*/tw/dict/bible/other/sow
9:13	xv6d		הֹרֵ֖ג	1	rc://*/tw/dict/bible/other/slain
9:14	p2a6	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
9:14	hf64		רֶ֣חֶם	1	rc://*/tw/dict/bible/other/womb
9:15	dhdg	keyterm	רָעָתָ֤⁠ם	1	rc://*/tw/dict/bible/kt/evil
9:15	z6x9	name	בַּ⁠גִּלְגָּל֙	1	rc://*/tw/dict/bible/names/gilgal
9:15	b9hm		מִ⁠בֵּיתִ֖⁠י	1	rc://*/tw/dict/bible/other/house
9:15	wwh7	keyterm	אַהֲבָתָ֔⁠ם	1	rc://*/tw/dict/bible/kt/love
9:15	ax84		כָּל־שָׂרֵי⁠הֶ֖ם	1	rc://*/tw/dict/bible/other/prince
9:15	phf9		סֹרְרִֽים	1	rc://*/tw/dict/bible/other/rebel
9:16	a58w	name	אֶפְרַ֔יִם	1	rc://*/tw/dict/bible/names/ephraim
9:16	h63r		יָבֵ֖שׁ	1	rc://*/tw/dict/bible/other/barren
9:16	q6cr		פְּרִ֣י	1	rc://*/tw/dict/bible/other/fruit
9:16	rsbq		וְ⁠הֵמַתִּ֖י	1	rc://*/tw/dict/bible/other/slain
9:16	ju7m		בִטְנָֽ⁠ם	1	rc://*/tw/dict/bible/other/womb
9:17	x7jz	keyterm	אֱלֹהַ֔⁠י	1	rc://*/tw/dict/bible/kt/god
9:17	q63i		יִמְאָסֵ֣⁠ם	1	rc://*/tw/dict/bible/other/reject
9:17	bwcg		בַּ⁠גּוֹיִֽם	1	rc://*/tw/dict/bible/other/nation
10:1	jw4h	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
10:1	c3d8		גֶּ֤פֶן	1	rc://*/tw/dict/bible/other/vine
10:1	utct		פְּרִ֖י	1	rc://*/tw/dict/bible/other/fruit
10:1	namc		לְ⁠פִרְי֗⁠וֹ	1	rc://*/tw/dict/bible/other/fruit
10:1	b2p9	keyterm	לַֽ⁠מִּזְבְּח֔וֹת	1	rc://*/tw/dict/bible/kt/altar
10:1	sm4e	keyterm	כְּ⁠ט֣וֹב	1	rc://*/tw/dict/bible/kt/good
10:1	iwfq		לְ⁠אַרְצ֔⁠וֹ	1	rc://*/tw/dict/bible/other/earth
10:1	hmtk		מַצֵּבֽוֹת	1	rc://*/tw/dict/bible/other/pillar
10:2	uxm9		יֶאְשָׁ֑מוּ	1	rc://*/tw/dict/bible/other/bear-carryburden
